Name,Cost,Lots,Economy,Loyalty,Stability,Unrest,Fame,Defense,Corruption,Crime,Law,Lore,Productivity,Society,Base Value,Limit,Discount,Upgrade From,Upgrade To,Special,Description
Tavern,12,1,1,1,,,,,1,,,,,,500,Adjacent to 1 House,,,,,An eating or drinking establishment.
Temple,32,2,,2,2,-2,,,,,,,,,,,"Graveyard, Monument, Shrine",Shrine,,,A large place of worship dedicated to a deity
Tenement,1,1,,,,2,,,,,,,,,,,,,House,Counts as House,A staggering number of low-rent housing units
Theater,24,2,2,,2,,,,,,,,,,,,"Brothel, Exotic Artisan, Inn, Park, Tavern",,Arena,,"A venue for entertainments such as plays, operas, and concerts."
Town Hall,22,2,1,1,1,,,,,,1,,,,,,"Barracks, Cistern, Dump, Jail, Watchtower",,,,"A public venue for town meetings, repository for town records, and offices for minor bureaucrats."
Trade Shop,10,1,1,,1,,,,,,,,1,,500,Adjacent to 1 House,,,Guildhall,,"A shop front for a tradesperson, such as a baker, butcher, candle maker, cobbler, rope maker, or wainwright."
University,78,4,3,3,,,1,,,,,,,,,," Academy, Bardic College, Library, Magical Academy, Military Academy, Museum",Academy,,,"An institution of higher learning, focusing mainly on mundane subjects but dabbling in magical theory."
Watchtower,12,1,,,1,-1,,2,,,,,,,,,,,,,A tall structure that serves as a guard post.
Watergate,2,,,,,,,,,,,,,,,,,,,,"A gate in a City Wall that allows water (such as a river, Aqueduct, or Waterway) to enter the settlement. a Watergate has underwater defenses to block unwanted access. If you construct a Watergate when you construct a City Wall, the Watergate does not count toward the limit of the number of buildings you can construct per turn."
Waterfront,90,4,4,,,,,,,,,,2,,4000,"Adjacent to water district border, 1 per settlement","Black Market, Guildhall, Market, Pier",Pier,,halves Loyalty penalty for Taxation edicts,"A port for waterborne arrival and departure, with facilities for shipping and shipbuilding."
Waterway,3,1,,,,,,,,,,,,,,,,,,Counts as water district border for adjacent buildings,"A river or canal occupying part of the District Grid. At the GM's option, a natural Waterway may already exist on the grid, requiring no action or BP to build. If you construct a City Wall that touches or crosses the Waterway, you must also build Watergates on the same turn."
Abandoned House,,,,,,-1,,,,1,,,,-1,,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,
